,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,BetNot,Bet Not,107429408,1150088472054644737,/BetNot/status/1150088472054644737,2019-07-13 17:03:54,1563037434,... did every one survive ... ;?  #gunskillpeople,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">... did every one survive ... ;?  <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/gunskillpeople?src=hash""><s>#</s><b><strong>gunskillpeople</strong></b></a></p>",[],['gunskillpeople'],False,[],,0,0,0,False,True,1149844647578988544,"[{'screen_name': 'thekjohnston', 'user_id': '426962696'}, {'screen_name': 'absolut_irish', 'user_id': '217236331'}]"
1,BetNot,Bet Not,107429408,1149635085651460097,/BetNot/status/1149635085651460097,2019-07-12 11:02:18,1562929338,"... gotta admit when they showed the guns, feared for them  ... #gunskillpeople","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">... gotta admit when they showed the guns, feared for them  ... <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/gunskillpeople?src=hash""><s>#</s><b><strong>gunskillpeople</strong></b></a></p>",[],['gunskillpeople'],False,[],,0,0,0,False,True,1149447382838448129,"[{'screen_name': 'Problemattic', 'user_id': '199755546'}, {'screen_name': 'nycsouthpaw', 'user_id': '22429979'}]"
2,BetNot,Bet Not,107429408,1150088472054644737,/BetNot/status/1150088472054644737,2019-07-13 17:03:54,1563037434,... did every one survive ... ;?  #gunskillpeople,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">... did every one survive ... ;?  <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/gunskillpeople?src=hash""><s>#</s><b><strong>gunskillpeople</strong></b></a></p>",[],['gunskillpeople'],False,[],,0,0,0,False,True,1149844647578988544,"[{'screen_name': 'thekjohnston', 'user_id': '426962696'}, {'screen_name': 'absolut_irish', 'user_id': '217236331'}]"
3,BetNot,Bet Not,107429408,1149635085651460097,/BetNot/status/1149635085651460097,2019-07-12 11:02:18,1562929338,"... gotta admit when they showed the guns, feared for them  ... #gunskillpeople","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">... gotta admit when they showed the guns, feared for them  ... <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/gunskillpeople?src=hash""><s>#</s><b><strong>gunskillpeople</strong></b></a></p>",[],['gunskillpeople'],False,[],,0,0,0,False,True,1149447382838448129,"[{'screen_name': 'Problemattic', 'user_id': '199755546'}, {'screen_name': 'nycsouthpaw', 'user_id': '22429979'}]"
4,Dad78Dc,Impeach the MFing Traitor NOW!!!!,1045473638944821248,1151681812302880768,/Dad78Dc/status/1151681812302880768,2019-07-18 02:35:15,1563417315,"Maybe that baby knows where JFK Jr. is.. bad joke, in poor taste.

But.. I can't help it #Pizzagate #Q #Qanon #LizCrokin #CometPizza #Tinfoil #FlatEarth #DonnysPosse #SquadOfSqualor #KingTroll #DonnyTheDumb #DeeperState #GunsKillPeople #WWFZD #SaveFerris","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Maybe that baby knows where JFK Jr. is.. bad joke, in poor taste.

But.. I can't help it <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Pizzagate?src=hash""><s>#</s><b>Pizzagate</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Q?src=hash""><s>#</s><b>Q</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Qanon?src=hash""><s>#</s><b>Qanon</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LizCrokin?src=hash""><s>#</s><b>LizCrokin</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CometPizza?src=hash""><s>#</s><b>CometPizza</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Tinfoil?src=hash""><s>#</s><b>Tinfoil</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FlatEarth?src=hash""><s>#</s><b>FlatEarth</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DonnysPosse?src=hash""><s>#</s><b>DonnysPosse</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SquadOfSqualor?src=hash""><s>#</s><b>SquadOfSqualor</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/KingTroll?src=hash""><s>#</s><b>KingTroll</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DonnyTheDumb?src=hash""><s>#</s><b>DonnyTheDumb</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DeeperState?src=hash""><s>#</s><b>DeeperState</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GunsKillPeople?src=hash""><s>#</s><b><strong>GunsKillPeople</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/WWFZD?src=hash""><s>#</s><b>WWFZD</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SaveFerris?src=hash""><s>#</s><b>SaveFerris</b></a></p>",[],"['Pizzagate', 'Q', 'Qanon', 'LizCrokin', 'CometPizza', 'Tinfoil', 'FlatEarth', 'DonnysPosse', 'SquadOfSqualor', 'KingTroll', 'DonnyTheDumb', 'DeeperState', 'GunsKillPeople', 'WWFZD', 'SaveFerris']",False,[],,0,0,0,False,True,1151655512620093440,"[{'screen_name': 'JordanUhl', 'user_id': '68752979'}]"
5,Dad78Dc,Impeach the MFing Traitor NOW!!!!,1045473638944821248,1151681812302880768,/Dad78Dc/status/1151681812302880768,2019-07-18 02:35:15,1563417315,"Maybe that baby knows where JFK Jr. is.. bad joke, in poor taste.

But.. I can't help it #Pizzagate #Q #Qanon #LizCrokin #CometPizza #Tinfoil #FlatEarth #DonnysPosse #SquadOfSqualor #KingTroll #DonnyTheDumb #DeeperState #GunsKillPeople #WWFZD #SaveFerris","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Maybe that baby knows where JFK Jr. is.. bad joke, in poor taste.

But.. I can't help it <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Pizzagate?src=hash""><s>#</s><b>Pizzagate</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Q?src=hash""><s>#</s><b>Q</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Qanon?src=hash""><s>#</s><b>Qanon</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LizCrokin?src=hash""><s>#</s><b>LizCrokin</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CometPizza?src=hash""><s>#</s><b>CometPizza</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Tinfoil?src=hash""><s>#</s><b>Tinfoil</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FlatEarth?src=hash""><s>#</s><b>FlatEarth</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DonnysPosse?src=hash""><s>#</s><b>DonnysPosse</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SquadOfSqualor?src=hash""><s>#</s><b>SquadOfSqualor</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/KingTroll?src=hash""><s>#</s><b>KingTroll</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DonnyTheDumb?src=hash""><s>#</s><b>DonnyTheDumb</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DeeperState?src=hash""><s>#</s><b>DeeperState</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GunsKillPeople?src=hash""><s>#</s><b><strong>GunsKillPeople</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/WWFZD?src=hash""><s>#</s><b>WWFZD</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SaveFerris?src=hash""><s>#</s><b>SaveFerris</b></a></p>",[],"['Pizzagate', 'Q', 'Qanon', 'LizCrokin', 'CometPizza', 'Tinfoil', 'FlatEarth', 'DonnysPosse', 'SquadOfSqualor', 'KingTroll', 'DonnyTheDumb', 'DeeperState', 'GunsKillPeople', 'WWFZD', 'SaveFerris']",False,[],,0,0,0,False,True,1151655512620093440,"[{'screen_name': 'JordanUhl', 'user_id': '68752979'}]"
6,AMetroHC,A Metro Home Companion,997633924560863233,1147511795395047424,/AMetroHC/status/1147511795395047424,2019-07-06 14:25:06,1562423106,"Back from #summer #vacay with a bang. Let's put #partisanship aside on the #GunControlDebate and see what it's like to give them a #SeatAtTheTable. Read: http://ow.ly/a0gP30p4Avv 
#NRA #GunControl #GunsKillPeople #GodControl #Newtown #Parkland #Pulse #SandyHook #JobInterviewpic.twitter.com/TJaYZvCtbI","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Back from <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/summer?src=hash""><s>#</s><b>summer</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/vacay?src=hash""><s>#</s><b>vacay</b></a> with a bang. Let's put <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/partisanship?src=hash""><s>#</s><b>partisanship</b></a> aside on the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GunControlDebate?src=hash""><s>#</s><b>GunControlDebate</b></a> and see what it's like to give them a <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SeatAtTheTable?src=hash""><s>#</s><b>SeatAtTheTable</b></a>. Read: <a class=""twitter-timeline-link"" data-expanded-url=""http://ow.ly/a0gP30p4Avv"" dir=""ltr"" href=""https://t.co/mGA2XiGI3S"" rel=""nofollow noopener"" target=""_blank"" title=""http://ow.ly/a0gP30p4Avv""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ow.ly/a0gP30p4Avv</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/NRA?src=hash""><s>#</s><b>NRA</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GunControl?src=hash""><s>#</s><b>GunControl</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GunsKillPeople?src=hash""><s>#</s><b><strong>GunsKillPeople</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GodControl?src=hash""><s>#</s><b>GodControl</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Newtown?src=hash""><s>#</s><b>Newtown</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Parkland?src=hash""><s>#</s><b>Parkland</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Pulse?src=hash""><s>#</s><b>Pulse</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SandyHook?src=hash""><s>#</s><b>SandyHook</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/JobInterview?src=hash""><s>#</s><b>JobInterview</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/TJaYZvCtbI"">pic.twitter.com/TJaYZvCtbI</a></p>",['http://ow.ly/a0gP30p4Avv'],"['summer', 'vacay', 'partisanship', 'GunControlDebate', 'SeatAtTheTable', 'NRA', 'GunControl', 'GunsKillPeople', 'GodControl', 'Newtown', 'Parkland', 'Pulse', 'SandyHook', 'JobInterviewpic']",True,['https://pbs.twimg.com/media/D-zH5YzXoAAws6n.jpg'],,0,0,0,False,False,,[]
7,AMetroHC,A Metro Home Companion,997633924560863233,1147511795395047424,/AMetroHC/status/1147511795395047424,2019-07-06 14:25:06,1562423106,"Back from #summer #vacay with a bang. Let's put #partisanship aside on the #GunControlDebate and see what it's like to give them a #SeatAtTheTable. Read: http://ow.ly/a0gP30p4Avv 
#NRA #GunControl #GunsKillPeople #GodControl #Newtown #Parkland #Pulse #SandyHook #JobInterviewpic.twitter.com/TJaYZvCtbI","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Back from <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/summer?src=hash""><s>#</s><b>summer</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/vacay?src=hash""><s>#</s><b>vacay</b></a> with a bang. Let's put <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/partisanship?src=hash""><s>#</s><b>partisanship</b></a> aside on the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GunControlDebate?src=hash""><s>#</s><b>GunControlDebate</b></a> and see what it's like to give them a <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SeatAtTheTable?src=hash""><s>#</s><b>SeatAtTheTable</b></a>. Read: <a class=""twitter-timeline-link"" data-expanded-url=""http://ow.ly/a0gP30p4Avv"" dir=""ltr"" href=""https://t.co/mGA2XiGI3S"" rel=""nofollow noopener"" target=""_blank"" title=""http://ow.ly/a0gP30p4Avv""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ow.ly/a0gP30p4Avv</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/NRA?src=hash""><s>#</s><b>NRA</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GunControl?src=hash""><s>#</s><b>GunControl</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GunsKillPeople?src=hash""><s>#</s><b><strong>GunsKillPeople</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GodControl?src=hash""><s>#</s><b>GodControl</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Newtown?src=hash""><s>#</s><b>Newtown</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Parkland?src=hash""><s>#</s><b>Parkland</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Pulse?src=hash""><s>#</s><b>Pulse</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SandyHook?src=hash""><s>#</s><b>SandyHook</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/JobInterview?src=hash""><s>#</s><b>JobInterview</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/TJaYZvCtbI"">pic.twitter.com/TJaYZvCtbI</a></p>",['http://ow.ly/a0gP30p4Avv'],"['summer', 'vacay', 'partisanship', 'GunControlDebate', 'SeatAtTheTable', 'NRA', 'GunControl', 'GunsKillPeople', 'GodControl', 'Newtown', 'Parkland', 'Pulse', 'SandyHook', 'JobInterviewpic']",True,['https://pbs.twimg.com/media/D-zH5YzXoAAws6n.jpg'],,0,0,0,False,False,,[]
8,Jellymelsi,Mels,755634325413068800,1182799057028206593,/Jellymelsi/status/1182799057028206593,2019-10-11 23:24:05,1570836245,But #gunskillpeople....... right?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">But <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/gunskillpeople?src=hash""><s>#</s><b><strong>gunskillpeople</strong></b></a>....... right?</p>",[],['gunskillpeople'],False,[],,0,0,0,False,True,1182614051173650432,"[{'screen_name': 'BNONews', 'user_id': '189305014'}]"
9,paulonwilliams,Black&White,4101397285,1182732459852460033,/paulonwilliams/status/1182732459852460033,2019-10-11 18:59:27,1570820367,Steve Kerr is American hero. #GunsKillPeople,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Steve Kerr is American hero. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GunsKillPeople?src=hash""><s>#</s><b><strong>GunsKillPeople</strong></b></a></p>",[],['GunsKillPeople'],False,[],,0,0,1,True,True,1182704413355446278,"[{'screen_name': 'bennyjohnson', 'user_id': '15212187'}]"
10,Jellymelsi,Mels,755634325413068800,1182799057028206593,/Jellymelsi/status/1182799057028206593,2019-10-11 23:24:05,1570836245,But #gunskillpeople....... right?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">But <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/gunskillpeople?src=hash""><s>#</s><b><strong>gunskillpeople</strong></b></a>....... right?</p>",[],['gunskillpeople'],False,[],,0,0,0,False,True,1182614051173650432,"[{'screen_name': 'BNONews', 'user_id': '189305014'}]"
11,paulonwilliams,Black&White,4101397285,1182732459852460033,/paulonwilliams/status/1182732459852460033,2019-10-11 18:59:27,1570820367,Steve Kerr is American hero. #GunsKillPeople,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Steve Kerr is American hero. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GunsKillPeople?src=hash""><s>#</s><b><strong>GunsKillPeople</strong></b></a></p>",[],['GunsKillPeople'],False,[],,0,0,1,True,True,1182704413355446278,"[{'screen_name': 'bennyjohnson', 'user_id': '15212187'}]"
12,Kolstad44,Morten Kolstad,1675636452,1186024873849753600,/Kolstad44/status/1186024873849753600,2019-10-20 21:02:19,1571605339,Norway has them also #gunskillpeople,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Norway has them also<img alt=""😭"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/><img alt=""😭"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/gunskillpeople?src=hash""><s>#</s><b><strong>gunskillpeople</strong></b></a></p>",[],['gunskillpeople'],False,[],,0,0,1,True,True,1186009706101239808,"[{'screen_name': 'onlmaps', 'user_id': '268829174'}, {'screen_name': 'bcsiszar', 'user_id': '245981469'}]"
13,LikeOldTat,AtheistInShorts🇪🇺,1157221174629347328,1184941977080680463,/LikeOldTat/status/1184941977080680463,2019-10-17 21:19:17,1571347157,I bought a fabulous #DutchOven from Ronnie Sunshines - if I lived in #USA  I could add my “Dream rifle combo” and start plotting revolution or school killings ffs #GunsKillPeople  pic.twitter.com/Iw3zvmddeN,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I bought a fabulous <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DutchOven?src=hash""><s>#</s><b>DutchOven</b></a> from Ronnie Sunshines - if I lived in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/USA?src=hash""><s>#</s><b>USA</b></a> <img alt=""🇺🇸"" aria-label=""Emoji: Flag of United States"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f1fa-1f1f8.png"" title=""Flag of United States""/> I could add my “Dream rifle combo” and start plotting revolution or school killings ffs <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GunsKillPeople?src=hash""><s>#</s><b><strong>GunsKillPeople</strong></b></a> <img alt=""🙄"" aria-label=""Emoji: Face with rolling eyes"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f644.png"" title=""Face with rolling eyes""/> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/Iw3zvmddeN"">pic.twitter.com/Iw3zvmddeN</a></p>",[],"['DutchOven', 'USA', 'GunsKillPeople']",True,"['https://pbs.twimg.com/media/EHHCaxsX0A04j7N.jpg', 'https://pbs.twimg.com/media/EHHCaxnX0AQqkiT.jpg']",,1,0,0,False,False,,[]
14,Kolstad44,Morten Kolstad,1675636452,1186024873849753600,/Kolstad44/status/1186024873849753600,2019-10-20 21:02:19,1571605339,Norway has them also #gunskillpeople,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Norway has them also<img alt=""😭"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/><img alt=""😭"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/gunskillpeople?src=hash""><s>#</s><b><strong>gunskillpeople</strong></b></a></p>",[],['gunskillpeople'],False,[],,0,0,1,True,True,1186009706101239808,"[{'screen_name': 'onlmaps', 'user_id': '268829174'}, {'screen_name': 'bcsiszar', 'user_id': '245981469'}]"
15,LikeOldTat,AtheistInShorts🇪🇺,1157221174629347328,1184941977080680463,/LikeOldTat/status/1184941977080680463,2019-10-17 21:19:17,1571347157,I bought a fabulous #DutchOven from Ronnie Sunshines - if I lived in #USA  I could add my “Dream rifle combo” and start plotting revolution or school killings ffs #GunsKillPeople  pic.twitter.com/Iw3zvmddeN,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I bought a fabulous <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DutchOven?src=hash""><s>#</s><b>DutchOven</b></a> from Ronnie Sunshines - if I lived in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/USA?src=hash""><s>#</s><b>USA</b></a> <img alt=""🇺🇸"" aria-label=""Emoji: Flag of United States"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f1fa-1f1f8.png"" title=""Flag of United States""/> I could add my “Dream rifle combo” and start plotting revolution or school killings ffs <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GunsKillPeople?src=hash""><s>#</s><b><strong>GunsKillPeople</strong></b></a> <img alt=""🙄"" aria-label=""Emoji: Face with rolling eyes"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f644.png"" title=""Face with rolling eyes""/> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/Iw3zvmddeN"">pic.twitter.com/Iw3zvmddeN</a></p>",[],"['DutchOven', 'USA', 'GunsKillPeople']",True,"['https://pbs.twimg.com/media/EHHCaxsX0A04j7N.jpg', 'https://pbs.twimg.com/media/EHHCaxnX0AQqkiT.jpg']",,1,0,0,False,False,,[]
16,milomom2,Milomom,3883044988,1189572363765067778,/milomom2/status/1189572363765067778,2019-10-30 15:58:47,1572451127,"@MeghanMcCain I don't get it.  Why do you & your brother need automatic weapons?  Why is it so important to keep these types of guns?  
#GunControlNow
#GunsKillPeople","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""23176276"" dir=""ltr"" href=""/MeghanMcCain""><s>@</s><b>MeghanMcCain</b></a> I don't get it.  Why do you &amp; your brother need automatic weapons?  Why is it so important to keep these types of guns?  
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GunControlNow?src=hash""><s>#</s><b>GunControlNow</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GunsKillPeople?src=hash""><s>#</s><b><strong>GunsKillPeople</strong></b></a></p>",[],"['GunControlNow', 'GunsKillPeople']",False,[],,0,0,0,False,False,,[]
